Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.2256,1.5877,2.5819,2.5219,4.6029
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.05,0.1143,0.1255,0.1845,0.2136
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0412,0.0318,0.0414,0.0757
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0436,0.1014,0.1955,0.4784
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0534,0.1944,0.4269,0.9327,1.7278
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0443,0.1269,0.2718,0.5452,0.97
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0123,0.0808,0.1879,0.4058,0.9293,1.5067
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0072,0.1284,0.4928,1.0325
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0088,0.0362,0.0961,0.1142
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0153,0.1564,0.3798,0.6928,1.0847,1.8616
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0067,0.0477,0.0814,0.1495,0.2692,0.4375
